"Month","Longitude","Latitude","Location","Crime.type"
"2015-01",-7.34522,55.029141," Upper Galliagh Road","Anti-social behaviour"
"2015-01",-5.927325,54.637378," Waveney Drive","Anti-social behaviour"
"2015-01",-5.932635,54.591645," Ventry Street","Anti-social behaviour"
"2015-01",-6.03621,54.506684," Dill Avenue","Anti-social behaviour"
"2015-01",-7.308118,54.992493," Ben Varden Avenue","Anti-social behaviour"
"2015-01",-5.709197,54.597064," Westland Drive","Anti-social behaviour"
"2015-01",-5.915622,54.576366," St. Judes Square","Anti-social behaviour"
"2015-01",-6.4123,54.427828," Lynden Gate","Anti-social behaviour"
"2015-01",-6.652541,55.206186," Main Street","Anti-social behaviour"
"2015-01",-7.301966,54.594518," Cannon Dale","Anti-social behaviour"
"2015-01",-6.267382,54.354577," Mountview Drive","Anti-social behaviour"
"2015-01",-5.980273,54.577301," Kennedy Way","Anti-social behaviour"
"2015-01",-5.934686,54.59637," Murray Street","Anti-social behaviour"
"2015-01",-6.019697,54.558833," Glasvey Rise","Anti-social behaviour"
"2015-01",-5.926802,54.598958," Ann Street","Anti-social behaviour"
"2015-01",-6.216453,54.590618," Chestnut Glen","Anti-social behaviour"
"2015-01",-5.931632,54.57328," Lockview Road","Anti-social behaviour"
"2015-01",-6.185575,54.711549," Donore Crescent","Anti-social behaviour"
"2015-01",-6.76282,54.514778," Oaklea","Anti-social behaviour"
"2015-01",-7.577581,54.340963," Ballylucas Road","Anti-social behaviour"
"2015-01",-7.33208,54.99648," Westland Mews","Anti-social behaviour"
"2015-01",-6.646242,55.193693," Apollo Avenue","Anti-social behaviour"
"2015-01",-6.635239,54.344817," Orangefield Crescent","Anti-social behaviour"
"2015-01",-5.67816,54.659182," Osborne Drive","Anti-social behaviour"
"2015-01",-6.68826,54.249695," Annvale Road","Anti-social behaviour"
"2015-01",-6.71069,54.529506," Bush Road","Anti-social behaviour"
"2015-01",-5.942221,54.659852," Floral Park","Anti-social behaviour"
"2015-01",-5.903877,54.5545," Burnside Avenue","Anti-social behaviour"
"2015-01",-6.014801,54.563506," Margaretta Park","Anti-social behaviour"
"2015-01",-6.358243,54.18166," Nursery Drive","Anti-social behaviour"
"2015-01",-5.951333,54.696197," The Glade","Anti-social behaviour"
"2015-01",-5.925203,54.602102," Victoria Street","Anti-social behaviour"
"2015-01",-7.313373,54.377039," Spout Road","Anti-social behaviour"
"2015-01",-5.869769,54.595523," Bethany Street","Anti-social behaviour"
"2015-01",-7.161642,54.41763," Mccrea Park","Anti-social behaviour"
"2015-01",-5.794821,54.722327," Barn Road","Anti-social behaviour"
"2015-01",-6.710606,55.099933," Farranseer Park","Anti-social behaviour"
"2015-01",-5.984893,54.596498," New Barnsley Gardens","Anti-social behaviour"
"2015-01",-6.77009,54.508707," Quarry Lane","Anti-social behaviour"
"2015-01",-5.925466,54.61305," Clanmorris Street","Anti-social behaviour"
"2015-01",-5.931345,54.624715," Premier Drive","Anti-social behaviour"
"2015-01",-5.747209,54.551018," Castle Street","Anti-social behaviour"
"2015-01",-5.962319,54.595212," Beechmount Pass","Anti-social behaviour"
"2015-01",-5.904684,54.556535," Glendale Park","Anti-social behaviour"
"2015-01",-5.782454,54.729919," Lennox Close","Anti-social behaviour"
"2015-01",-6.934381,54.945496," Drumrane Road","Anti-social behaviour"
"2015-01",-5.666286,54.663536," High Street","Anti-social behaviour"
"2015-01",-7.152608,54.910617," Irwin Crescent","Anti-social behaviour"
"2015-01",-6.35195,54.455249," Old Portadown Road","Anti-social behaviour"
"2015-01",-6.931306,55.050697," Castle Park","Anti-social behaviour"
"2015-01",-6.219285,54.714583," Market Square","Anti-social behaviour"
"2015-01",-5.825945,54.724336," Prospect Downs South","Anti-social behaviour"
"2015-01",-7.299491,54.604403," Old Mountfield Road","Anti-social behaviour"
"2015-01",-6.352147,54.180112," Hospital Road","Anti-social behaviour"
"2015-01",-5.981575,54.594134," Whitecliff Parade","Anti-social behaviour"
"2015-01",-5.965442,54.609228," Ballygomartin Road","Anti-social behaviour"
"2015-01",-6.290601,54.434747," Cambrai Drive","Anti-social behaviour"
"2015-01",-6.18698,54.710663," Firmount Drive","Anti-social behaviour"
"2015-01",-5.953215,54.600863," Ashmore Place","Anti-social behaviour"
"2015-01",-5.709197,54.597064," Westland Drive","Anti-social behaviour"
"2015-01",-6.159027,54.236922," Downpatrick Street","Anti-social behaviour"
"2015-01",-6.941795,55.040395," Glenview Drive","Anti-social behaviour"
"2015-01",-6.29926,54.311608," Newry Road","Anti-social behaviour"
"2015-01",-7.325398,55.008283," Northland Road","Anti-social behaviour"
"2015-01",-5.671813,54.659042," Railwayview Street","Anti-social behaviour"
"2015-01",-5.865101,54.598666," Belmont Church Road","Anti-social behaviour"
"2015-01",-5.922125,54.602355," Donegall Quay","Anti-social behaviour"
"2015-01",-5.922125,54.602355," Donegall Quay","Anti-social behaviour"
"2015-01",-6.027232,54.570556," Colinvale","Anti-social behaviour"
"2015-01",-6.67723,55.130504," Pates Lane","Anti-social behaviour"
"2015-01",-7.161642,54.41763," Mccrea Park","Anti-social behaviour"
"2015-01",-6.044499,54.513512," Railway Street","Anti-social behaviour"
"2015-01",-6.341111,54.178389," Lower Catherine Street","Anti-social behaviour"
"2015-01",-7.342911,55.01543," Gweebara Park","Anti-social behaviour"
"2015-01",-6.22531,54.707043," Greenpark Drive","Anti-social behaviour"
"2015-01",-5.934248,54.25964," Station Avenue","Anti-social behaviour"
"2015-01",-6.50387,55.077329," Agherton Gardens","Anti-social behaviour"
"2015-01",-5.923682,54.664171," Carnreagh Bend","Anti-social behaviour"
"2015-01",-5.734993,54.548857," Laburnum Grove","Anti-social behaviour"
"2015-01",-7.474058,54.822328," Koram Square","Anti-social behaviour"
"2015-01",-5.56478,54.537417," De Courcy Park","Anti-social behaviour"
"2015-01",-5.881321,54.583749," Houston Park","Anti-social behaviour"
"2015-01",-6.788563,54.506378," Mullaghmore Park","Anti-social behaviour"
"2015-01",-5.650517,54.401479," Braeside Gardens","Anti-social behaviour"
"2015-01",-5.938106,54.578908," Lennoxvale","Anti-social behaviour"
"2015-01",-5.751298,54.398501," Tobarmore Park","Anti-social behaviour"
"2015-01",-7.321576,54.997635," William Street","Anti-social behaviour"
"2015-01",-6.283752,54.856843," Leighinmohr Avenue","Anti-social behaviour"
"2015-01",-5.957705,54.687625," Manse Terrace","Anti-social behaviour"
"2015-01",-6.779428,54.501552," Woodburn Crescent","Anti-social behaviour"
"2015-01",-7.044257,55.042869," Clooney Road","Anti-social behaviour"
"2015-01",-6.202372,54.722949," Bush Park","Anti-social behaviour"
"2015-01",-5.923333,54.584414," Fitzwilliam Square","Anti-social behaviour"
"2015-01",-6.202833,54.71708," Portlee Walk","Anti-social behaviour"
"2015-01",-5.925203,54.602102," Victoria Street","Anti-social behaviour"
"2015-01",-6.028976,54.528004," Lambeg Road","Anti-social behaviour"
"2015-01",-6.646242,55.193693," Apollo Avenue","Anti-social behaviour"
"2015-01",-7.302675,54.991941," Good Shepherd Glen","Anti-social behaviour"
"2015-01",-6.087063,54.469808," Culcavy Road","Anti-social behaviour"
"2015-01",-5.894279,54.589546," Quinton Street","Anti-social behaviour"
