"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"ballyoranpark","2015-01","Anti-socialbehaviour","54.433011","-6.453803","BT621JW"
"ballyphiliproad","2015-01","Anti-socialbehaviour","54.381476","-5.537864","BT221RD"
"ballysaggartpark","2015-01","Anti-socialbehaviour","54.505843","-6.786247","BT701UJ"
"ballysillanpark","2015-01","Anti-socialbehaviour","54.62974","-5.968119","BT148HB"
"ballysillanroad","2015-01","Anti-socialbehaviour","54.631045","-5.960744","BT147QT"
"ballytrustanroad","2015-01","Anti-socialbehaviour","54.333574","-5.626715","BT307AQ"
"bardshill","2015-01","Anti-socialbehaviour","54.984464","-7.316331","BT472DR"
"barnettsgreen","2015-01","Anti-socialbehaviour","54.59136","-5.847257","BT57AG"
"barnfieldroad","2015-01","Anti-socialbehaviour","54.543848","-6.041317","BT283TQ"
"barnroad","2015-01","Anti-socialbehaviour","54.722327","-5.794821","BT387EU"
"barrackstreet","2015-01","Anti-socialbehaviour","54.825632","-7.461568","BT714LS"
"bathterrace","2015-01","Anti-socialbehaviour","55.208021","-6.653578","BT568AN"
"bayroad","2015-01","Anti-socialbehaviour","55.014176","-7.312731","BT487SH"
"beaumontdrive","2015-01","Anti-socialbehaviour","54.645646","-5.636618","BT196WH"
"beckettavenue","2015-01","Anti-socialbehaviour","55.079334","-6.534298","BT536TX"
"beechlanddrive","2015-01","Anti-socialbehaviour","54.502902","-6.053481","BT281HR"
"beechlandroad","2015-01","Anti-socialbehaviour","54.752689","-6.598811","BT456BG"
"beechlawnpark","2015-01","Anti-socialbehaviour","54.55279","-5.998658","BT179NR"
"beechmountpass","2015-01","Anti-socialbehaviour","54.595212","-5.962319","BT127NW"
"beechway","2015-01","Anti-socialbehaviour","54.650934","-6.737384","BT808LG"
"beechway","2015-01","Anti-socialbehaviour","54.650615","-6.740384","BT808LG"
"beersbridgeroad","2015-01","Anti-socialbehaviour","54.593078","-5.88865","BT55EG"
"beersbridgeroad","2015-01","Anti-socialbehaviour","54.593445","-5.887579","BT55EG"
"belfastroad","2015-01","Anti-socialbehaviour","54.461861","-6.294961","BT203GS"
"belfastroad","2015-01","Anti-socialbehaviour","54.712692","-5.814448","BT203GS"
"bellevuepark","2015-01","Anti-socialbehaviour","54.518078","-6.053501","BT367QD"
"belmontchurchroad","2015-01","Anti-socialbehaviour","54.598666","-5.865101","BT43FG"
"beltanyroad","2015-01","Anti-socialbehaviour","54.617056","-7.330341","BT785NA"
"benevenaghdrive","2015-01","Anti-socialbehaviour","55.04635","-6.946879","BT490AJ"
"benvardenavenue","2015-01","Anti-socialbehaviour","54.992493","-7.308118","BT472AS"
"benviewestate","2015-01","Anti-socialbehaviour","55.032846","-7.359531","BT480NQ"
"bethanystreet","2015-01","Anti-socialbehaviour","54.595523","-5.869769","BT43FE"
"binghamlane","2015-01","Anti-socialbehaviour","54.662003","-5.666901","BT205DR"
"binghamstreeteast","2015-01","Anti-socialbehaviour","54.661284","-5.665981","BT205DP"
"bingniandrive","2015-01","Anti-socialbehaviour","54.58073","-5.991937","BT118JD"
"bishopshill","2015-01","Anti-socialbehaviour","54.413027","-6.153683","BT251FL"
"blarispark","2015-01","Anti-socialbehaviour","54.500329","-6.058297","BT281NQ"
"bleerickdrive","2015-01","Anti-socialbehaviour","54.713625","-6.185606","BT411HU"
"bondsstreet","2015-01","Anti-socialbehaviour","54.996744","-7.308576","BT476EG"
"boneybefore","2015-01","Anti-socialbehaviour","54.723656","-5.780483","BT387EQ"
"bowstreet","2015-01","Anti-socialbehaviour","54.511444","-6.047732","BT281BN"
"braesidegardens","2015-01","Anti-socialbehaviour","54.401479","-5.650517","BT309QE"
"braesidepark","2015-01","Anti-socialbehaviour","54.353737","-7.641261","BT449EN"
"bramblingclose","2015-01","Anti-socialbehaviour","54.525044","-6.065388","BT283PN"
"bredapark","2015-01","Anti-socialbehaviour","54.560064","-5.909219","BT86JR"
"breezemountavenue","2015-01","Anti-socialbehaviour","54.630667","-5.669548","BT237TT"
"bridgendroad","2015-01","Anti-socialbehaviour","54.753498","-5.758173","BT389LA"
"bridgestreet","2015-01","Anti-socialbehaviour","54.823816","-7.465187","BT440RP"
"bridgestreetlink","2015-01","Anti-socialbehaviour","54.55143","-5.74428","BT235YH"
"broadway","2015-01","Anti-socialbehaviour","54.851015","-5.819368","BT126HY"
"brookdalepark","2015-01","Anti-socialbehaviour","55.030072","-7.323343","BT488HH"
"brookepark","2015-01","Anti-socialbehaviour","54.855274","-6.269415","BT817ED"
"brookepark","2015-01","Anti-socialbehaviour","54.855939","-6.270103","BT817ED"
"brookfieldplace","2015-01","Anti-socialbehaviour","54.612637","-5.958754","BT147FN"
"brookhillavenue","2015-01","Anti-socialbehaviour","54.61603","-5.940006","BT146BS"
"brooklandsmanor","2015-01","Anti-socialbehaviour","54.661933","-5.632742","BT205LJ"
"brookstreet","2015-01","Anti-socialbehaviour","55.133386","-6.667146","BT785HD"
"brucevalecourt","2015-01","Anti-socialbehaviour","54.612746","-5.938129","BT146BG"
"brucevalepark","2015-01","Anti-socialbehaviour","54.61323","-5.939684","BT146BQ"
"bryansfordroad","2015-01","Anti-socialbehaviour","54.227301","-5.923242","BT345LN"
"bryansfordroad","2015-01","Anti-socialbehaviour","54.206882","-5.893519","BT345LN"
"brysonstreet","2015-01","Anti-socialbehaviour","54.597673","-5.904877","BT54ES"
"burnroad","2015-01","Anti-socialbehaviour","54.646838","-6.745148","BT808DN"
"burnsideavenue","2015-01","Anti-socialbehaviour","54.5545","-5.903877","BT86HW"
