"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"ballysillan road","2015-01","Anti-social behaviour",54.631045,-5.960744,"BT147QT"
"ballytrustan road","2015-01","Anti-social behaviour",54.333574,-5.626715,"BT307AQ"
"bards hill","2015-01","Anti-social behaviour",54.984464,-7.316331,"BT472DR"
"barn road","2015-01","Anti-social behaviour",54.722327,-5.794821,"BT387EU"
"barnetts green","2015-01","Anti-social behaviour",54.59136,-5.847257,"BT57AG"
"barnfield road","2015-01","Anti-social behaviour",54.543848,-6.041317,"BT283TQ"
"barrack street","2015-01","Anti-social behaviour",54.825632,-7.461568,"BT714LS"
"bath terrace","2015-01","Anti-social behaviour",55.208021,-6.653578,"BT568AN"
"bay road","2015-01","Anti-social behaviour",55.014176,-7.312731,"BT487SH"
"beaumont drive","2015-01","Anti-social behaviour",54.645646,-5.636618,"BT196WH"
"beckett avenue","2015-01","Anti-social behaviour",55.079334,-6.534298,"BT536TX"
"beechland drive","2015-01","Anti-social behaviour",54.502902,-6.053481,"BT281HR"
"beechland road","2015-01","Anti-social behaviour",54.752689,-6.598811,"BT456BG"
"beechlawn park","2015-01","Anti-social behaviour",54.55279,-5.998658,"BT179NR"
"beechmount pass","2015-01","Anti-social behaviour",54.595212,-5.962319,"BT127NW"
"beechway","2015-01","Anti-social behaviour",54.650934,-6.737384,"BT808LG"
"beechway","2015-01","Anti-social behaviour",54.650615,-6.740384,"BT808LG"
"beersbridge road","2015-01","Anti-social behaviour",54.593445,-5.887579,"BT55EG"
"beersbridge road","2015-01","Anti-social behaviour",54.593078,-5.88865,"BT55EG"
"belfast road","2015-01","Anti-social behaviour",54.712692,-5.814448,"BT203GS"
"belfast road","2015-01","Anti-social behaviour",54.461861,-6.294961,"BT203GS"
"bellevue park","2015-01","Anti-social behaviour",54.518078,-6.053501,"BT367QD"
"belmont church road","2015-01","Anti-social behaviour",54.598666,-5.865101,"BT43FG"
"beltany road","2015-01","Anti-social behaviour",54.617056,-7.330341,"BT785NA"
"ben varden avenue","2015-01","Anti-social behaviour",54.992493,-7.308118,"BT472AS"
"benevenagh drive","2015-01","Anti-social behaviour",55.04635,-6.946879,"BT490AJ"
"benview estate","2015-01","Anti-social behaviour",55.032846,-7.359531,"BT480NQ"
"bethany street","2015-01","Anti-social behaviour",54.595523,-5.869769,"BT43FE"
"bingham lane","2015-01","Anti-social behaviour",54.662003,-5.666901,"BT205DR"
"bingham street east","2015-01","Anti-social behaviour",54.661284,-5.665981,"BT205DP"
"bingnian drive","2015-01","Anti-social behaviour",54.58073,-5.991937,"BT118JD"
"bishopshill","2015-01","Anti-social behaviour",54.413027,-6.153683,"BT251FL"
"blaris park","2015-01","Anti-social behaviour",54.500329,-6.058297,"BT281NQ"
"bleerick drive","2015-01","Anti-social behaviour",54.713625,-6.185606,"BT411HU"
"bonds street","2015-01","Anti-social behaviour",54.996744,-7.308576,"BT476EG"
"boneybefore","2015-01","Anti-social behaviour",54.723656,-5.780483,"BT387EQ"
"bow street","2015-01","Anti-social behaviour",54.511444,-6.047732,"BT281BN"
"braeside gardens","2015-01","Anti-social behaviour",54.401479,-5.650517,"BT309QE"
"braeside park","2015-01","Anti-social behaviour",54.353737,-7.641261,"BT449EN"
"brambling close","2015-01","Anti-social behaviour",54.525044,-6.065388,"BT283PN"
"breda park","2015-01","Anti-social behaviour",54.560064,-5.909219,"BT86JR"
"breezemount avenue","2015-01","Anti-social behaviour",54.630667,-5.669548,"BT237TT"
"bridge street","2015-01","Anti-social behaviour",54.823816,-7.465187,"BT440RP"
"bridge street link","2015-01","Anti-social behaviour",54.55143,-5.74428,"BT235YH"
"bridgend road","2015-01","Anti-social behaviour",54.753498,-5.758173,"BT389LA"
"broadway","2015-01","Anti-social behaviour",54.851015,-5.819368,"BT126HY"
"brook street","2015-01","Anti-social behaviour",55.133386,-6.667146,"BT785HD"
"brookdale park","2015-01","Anti-social behaviour",55.030072,-7.323343,"BT488HH"
"brooke park","2015-01","Anti-social behaviour",54.855939,-6.270103,"BT817ED"
"brooke park","2015-01","Anti-social behaviour",54.855274,-6.269415,"BT817ED"
"brookfield place","2015-01","Anti-social behaviour",54.612637,-5.958754,"BT147FN"
"brookhill avenue","2015-01","Anti-social behaviour",54.61603,-5.940006,"BT146BS"
"brooklands manor","2015-01","Anti-social behaviour",54.661933,-5.632742,"BT205LJ"
"brucevale court","2015-01","Anti-social behaviour",54.612746,-5.938129,"BT146BG"
"brucevale park","2015-01","Anti-social behaviour",54.61323,-5.939684,"BT146BQ"
