"","Locality","Townland","Town"
"12160",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"12189",NA,"SHANREAGH","LIMAVADY"
"12263",NA,"ENAGH","LIMAVADY"
"13098",NA,"COOLESSAN","LIMAVADY"
"13243",NA,"COOLESSAN","LIMAVADY"
"13349",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"13381",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"13382",NA,"BOVALLY","LIMAVADY"
"13423",NA,"BALLYHANNA","LIMAVADY"
"13928",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"13971",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"14205","LIMAVADY","DRUMRAIGHLAND","LIMAVADY"
"14539",NA,"BOVALLY","LIMAVADY"
"14540",NA,"BOVALLY","LIMAVADY"
"14545",NA,"BOVALLY","LIMAVADY"
"14577",NA,"CARROWCLARE","LIMAVADY"
"14698",NA,"DUNCRUN","LIMAVADY"
"14713",NA,"DRUMAVALLY","LIMAVADY"
"14728",NA,"DRUMAVALLY","LIMAVADY"
"14731",NA,"LOWER BALLYLEIGHERY","LIMAVADY"
"14820",NA,"BALLYMACRAN","LIMAVADY"
"14867","FRUITHILL","GRANNAGH","LIMAVADY"
"14878",NA,"GORTNAMONEY","LIMAVADY"
"14891",NA,"CRINDLE","LIMAVADY"
"15139",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15140",NA,"RATHBRADY MORE","LIMAVADY"
"15143",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15146",NA,"COOLESSAN","LIMAVADY"
"15147",NA,"COOLESSAN","LIMAVADY"
"15148",NA,"ENAGH","LIMAVADY"
"15150",NA,"CARRAN","LIMAVADY"
"15152",NA,"ENAGH","LIMAVADY"
"15153",NA,"CARRAN","LIMAVADY"
"15154",NA,"RATHBRADY MORE","LIMAVADY"
"15155",NA,"ENAGH","LIMAVADY"
"15156",NA,"CARRAN","LIMAVADY"
"15157",NA,"ENAGH","LIMAVADY"
"15158",NA,"RATHBRADY MORE","LIMAVADY"
"15162",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15163",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15164",NA,"ENAGH","LIMAVADY"
"15165",NA,"ENAGH","LIMAVADY"
"15168",NA,"RATHBRADY MORE","LIMAVADY"
"15172",NA,"ENAGH","LIMAVADY"
"15173",NA,"DEER PARK","LIMAVADY"
"15174","FRUITHILL","ARTIKELLY","LIMAVADY"
"15175",NA,"COOLESSAN","LIMAVADY"
"15176",NA,"ENAGH","LIMAVADY"
"15177",NA,"ENAGH","LIMAVADY"
"15180",NA,"ENAGH","LIMAVADY"
"15181",NA,"RATHBRADY MORE","LIMAVADY"
"15182",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
