"","Locality","Townland","Town"
"236022",NA,"COOLESSAN","LIMAVADY"
"236023",NA,"EDENMORE","LIMAVADY"
"236024",NA,"BOVALLY","LIMAVADY"
"236025",NA,"CARRAN","LIMAVADY"
"236026",NA,"ARDGARVAN","LIMAVADY"
"236027",NA,"COOLESSAN","LIMAVADY"
"236028",NA,"COOLESSAN","LIMAVADY"
"236030",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"236031",NA,"BOVALLY","LIMAVADY"
"236033",NA,"BOVALLY","LIMAVADY"
"236036",NA,"ENAGH","LIMAVADY"
"236038",NA,"BOVALLY","LIMAVADY"
"236043",NA,"BOVALLY","LIMAVADY"
"236046",NA,"RATHBRADY MORE","LIMAVADY"
"236051",NA,"RATHBRADY MORE","LIMAVADY"
"236052",NA,"ENAGH","LIMAVADY"
"236053",NA,"ENAGH","LIMAVADY"
"236061",NA,"LARGYREAGH","LIMAVADY"
"236069",NA,"BOVALLY","LIMAVADY"
"236070",NA,"BOVALLY","LIMAVADY"
"236080",NA,"BOVALLY","LIMAVADY"
"236093",NA,"ENAGH","LIMAVADY"
"236275",NA,"KILHOYLE","LIMAVADY"
"236278",NA,"DRUMSURN LOWER","LIMAVADY"
"236285",NA,"BALLYQUIN","LIMAVADY"
"236325",NA,"DRUMSURN UPPER","LIMAVADY"
"236518",NA,"BURNALLY","LIMAVADY"
"236829",NA,"RATHBRADY MORE","LIMAVADY"
"236859",NA,"CARRAN","LIMAVADY"
"239134",NA,"GLACK","LIMAVADY"
"242051",NA,"BOVALLY","LIMAVADY"
"242098",NA,"KILLANE","LIMAVADY"
"242131",NA,"BOVALLY","LIMAVADY"
"242173",NA,"DRUMAVALLY","LIMAVADY"
"242174",NA,"TERRYDREMONT SOUTH","LIMAVADY"
"242414","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"242453",NA,"RATHBRADY MORE","LIMAVADY"
"242494",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"242561",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"243226",NA,"BOVALLY","LIMAVADY"
"243285",NA,"WALWORTH","LIMAVADY"
"243384",NA,"BALLYHENRY EAST","LIMAVADY"
"243450",NA,"RATHBRADY MORE","LIMAVADY"
"243451",NA,"BOVALLY","LIMAVADY"
"243479",NA,"DERRY MORE","LIMAVADY"
"243606",NA,"RATHBRADY MORE","LIMAVADY"
"243624",NA,"BALLYQUIN","LIMAVADY"
"244119",NA,"RATHBRADY MORE","LIMAVADY"
"244120",NA,"ENAGH","LIMAVADY"
"244123",NA,"BOVALLY","LIMAVADY"
"244132",NA,"CARRAN","LIMAVADY"
"244225",NA,"LARGY","LIMAVADY"
"244319",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"244320",NA,"ENAGH","LIMAVADY"
"244345",NA,"BOVALLY","LIMAVADY"
"244359",NA,"BALLYMORE","LIMAVADY"
"244440",NA,"FARLOW","LIMAVADY"
"245178",NA,"CARROWMUDDLE","LIMAVADY"
"245197","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"245444",NA,"BOVALLY","LIMAVADY"
"245550",NA,"BOVALLY","LIMAVADY"
"245579",NA,"CARRAN","LIMAVADY"
"245610",NA,"DRUMAVALLY","LIMAVADY"
"245680",NA,"BOVALLY","LIMAVADY"
"245681",NA,"GLACK","LIMAVADY"
"245723",NA,"LISNAKILLY","LIMAVADY"
"246563",NA,"BOVALLY","LIMAVADY"
"246609",NA,"BOVALLY","LIMAVADY"
"246648",NA,"KILLANE","LIMAVADY"
"246683",NA,"BOVALLY","LIMAVADY"
"246693",NA,"BALLYCRUM","LIMAVADY"
"246965",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"247101",NA,"MYROE LEVEL (INTAKE)","LIMAVADY"
"247370",NA,"RATHBRADY MORE","LIMAVADY"
"247371",NA,"TERRYDREMONT NORTH","LIMAVADY"
"247401",NA,"CARROWCLARE","LIMAVADY"
"247452",NA,"ENAGH","LIMAVADY"
"247465",NA,"BOVALLY","LIMAVADY"
"247479",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"247489",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"247491",NA,"CARRAN","LIMAVADY"
"247495",NA,"ENAGH","LIMAVADY"
"247496",NA,"BOVALLY","LIMAVADY"
"247558",NA,"BOVALLY","LIMAVADY"
"247586",NA,"BOVALLY","LIMAVADY"
"248456",NA,"DRUMSURN LOWER","LIMAVADY"
"248584",NA,"CARRAN","LIMAVADY"
"248612",NA,"SESNAGH","LIMAVADY"
"248692",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"249101",NA,"BOVALLY","LIMAVADY"
"249208",NA,"ENAGH","LIMAVADY"
"249398",NA,"BROIGHTER","LIMAVADY"
"249482",NA,"CULMORE LOWER","LIMAVADY"
"249626",NA,"DRUMMOND","LIMAVADY"
"249750",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"249836",NA,"DUNCRUN","LIMAVADY"
"249964",NA,"BENONE","LIMAVADY"
"249966",NA,"CLOONEY","LIMAVADY"
"249977",NA,"CLOONEY","LIMAVADY"
"249987",NA,"BENONE","LIMAVADY"
"250072",NA,"CARROWCLARE","LIMAVADY"
"250078",NA,"CARROWCLARE","LIMAVADY"
"250121","FRUITHILL","BALLYCASTLE","LIMAVADY"
"250124",NA,"SHANVEY","LIMAVADY"
"250312",NA,"GLACK","LIMAVADY"
"250356",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250357",NA,"DEER PARK","LIMAVADY"
"250358",NA,"CARRAN","LIMAVADY"
"250360",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250361",NA,"RATHBRADY MORE","LIMAVADY"
"250362",NA,"ENAGH","LIMAVADY"
"250364",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250365",NA,"ENAGH","LIMAVADY"
"250371",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250372",NA,"ENAGH","LIMAVADY"
"250373",NA,"CARRAN","LIMAVADY"
"250377",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250381",NA,"CARRAN","LIMAVADY"
"250382",NA,"DRUMACARNEY","LIMAVADY"
"250384",NA,"CULMORE UPPER","LIMAVADY"
"250385",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250386",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250387",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250391",NA,"DROMORE","LIMAVADY"
"250396",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250397",NA,"BOVALLY","LIMAVADY"
"250398",NA,"ENAGH","LIMAVADY"
"250399",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250400",NA,"DEER PARK","LIMAVADY"
"250401",NA,"BOVALLY","LIMAVADY"
"250403",NA,"CARRAN","LIMAVADY"
"250404",NA,"BOVALLY","LIMAVADY"
"250408",NA,"ENAGH","LIMAVADY"
"250409",NA,"RATHBRADY MORE","LIMAVADY"
"250410",NA,"COOLESSAN","LIMAVADY"
"250411",NA,"ENAGH","LIMAVADY"
"250413",NA,"BOVALLY","LIMAVADY"
"250414",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"250418",NA,"RATHBRADY MORE","LIMAVADY"
"250423",NA,"BOVALLY","LIMAVADY"
"250426",NA,"CLAGAN","LIMAVADY"
"250428",NA,"BOVALLY","LIMAVADY"
"250431",NA,"SESNAGH","LIMAVADY"
"250432","BOVALLY","BOVALLY","LIMAVADY"
"250440",NA,"BOVALLY","LIMAVADY"
"250444",NA,"GLENKEEN","LIMAVADY"
"250445","BOVALLY","BOVALLY","LIMAVADY"
"250456",NA,"ARDGARVAN","LIMAVADY"
"250462",NA,"ENAGH","LIMAVADY"
"250463",NA,"BOVALLY","LIMAVADY"
"250472",NA,"CARRAN","LIMAVADY"
"250640",NA,"DRUMSURN LOWER","LIMAVADY"
"250658",NA,"DRUMSURN LOWER","LIMAVADY"
"251223",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"256549",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"256619",NA,"CARROWCLARE","LIMAVADY"
"256664",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"256890","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"256921",NA,"LENAMORE","LIMAVADY"
"256979",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"256980",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"257308","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"257347","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"257348","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"257492",NA,"BOVALLY","LIMAVADY"
"257524",NA,"BOVALLY","LIMAVADY"
"257711",NA,"LOWER BALLYLEIGHERY","LIMAVADY"
"257921",NA,"RATHBRADY MORE","LIMAVADY"
"258097",NA,"DRUMGAVENNY UPPER","LIMAVADY"
"258146",NA,"ARDINARIVE","LIMAVADY"
"258171",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"258173",NA,"CARRAN","LIMAVADY"
"258210",NA,"DUNCRUN","LIMAVADY"
"258629",NA,"DROMORE","LIMAVADY"
"258630",NA,"DRUMMOND","LIMAVADY"
"258835",NA,"RATHBRADY MORE","LIMAVADY"
"258891",NA,"OUGHTYMOYLE","LIMAVADY"
"259665","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"259766",NA,"LENAMORE","LIMAVADY"
"259910",NA,"BOVALLY","LIMAVADY"
"259941",NA,"COOLESSAN","LIMAVADY"
"259954",NA,"CLOONEY","LIMAVADY"
"260035",NA,"BALLYMACLARY","LIMAVADY"
"260169",NA,"ENAGH","LIMAVADY"
"260199",NA,"CORNDALE UPPER","LIMAVADY"
"260212","FRUITHILL","STREEVE","LIMAVADY"
"260230",NA,"BOVALLY","LIMAVADY"
"260292",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"260329",NA,"DEER PARK","LIMAVADY"
"260391",NA,"CARRAN","LIMAVADY"
"260403",NA,"ENAGH","LIMAVADY"
"260436",NA,"RATHBRADY MORE","LIMAVADY"
"260976",NA,"BALLYMORE","LIMAVADY"
"261113",NA,"BOVALLY","LIMAVADY"
"261180",NA,"WALWORTH","LIMAVADY"
"261225",NA,"BOVALLY","LIMAVADY"
"261238",NA,"BOVALLY","LIMAVADY"
"261899",NA,"EDENMORE","LIMAVADY"
"261900",NA,"DERRY MORE","LIMAVADY"
"261902",NA,"ENAGH","LIMAVADY"
"261916",NA,"BALLYMULLY","LIMAVADY"
"261917",NA,"CARRAN","LIMAVADY"
"261918",NA,"RATHBRADY MORE","LIMAVADY"
"261937",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"261938",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"261945",NA,"DRUMAVALLY","LIMAVADY"
"262014",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"262061",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"262063",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"262064",NA,"ENAGH","LIMAVADY"
"262065",NA,"ENAGH","LIMAVADY"
"262073",NA,"GLACK","LIMAVADY"
"262144","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"262153",NA,"GORTNAMONEY","LIMAVADY"
"263005",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263127",NA,"LENAMORE","LIMAVADY"
"263134",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263144",NA,"MOYS","LIMAVADY"
"263186",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263251",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263252",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263602",NA,"BOVALLY","LIMAVADY"
"263741",NA,"RATHBRADY MORE","LIMAVADY"
"263742",NA,"ENAGH","LIMAVADY"
"263763","BOVALLY","BOVALLY","LIMAVADY"
"263796",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"263820",NA,"ENAGH","LIMAVADY"
"263896",NA,"DRUMSURN UPPER","LIMAVADY"
"263991",NA,"GLACK","LIMAVADY"
"264037",NA,"DRUMADREEN","LIMAVADY"
"264383",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264395",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264520",NA,"AUGHIL","LIMAVADY"
"264529",NA,"CLOONEY","LIMAVADY"
"264530",NA,"AUGHIL","LIMAVADY"
"264532",NA,"OUGHTYMOYLE","LIMAVADY"
"264683",NA,"BALLYHENRY EAST","LIMAVADY"
"264695",NA,"GORTNAMONEY","LIMAVADY"
"264698",NA,"GORTNAMONEY","LIMAVADY"
"264701",NA,"DIRTAGH","LIMAVADY"
"264724",NA,"CARROWREAGH","LIMAVADY"
"264870",NA,"GLACK","LIMAVADY"
"264906",NA,"COOLESSAN","LIMAVADY"
"264907",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264909",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264910",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264915",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264916",NA,"RATHBRADY MORE","LIMAVADY"
"264917",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264918",NA,"ENAGH","LIMAVADY"
"264919","FRUITHILL","STREEVE","LIMAVADY"
"264920",NA,"RATHBRADY MORE","LIMAVADY"
"264921",NA,"RATHBRADY MORE","LIMAVADY"
"264922",NA,"CARRAN","LIMAVADY"
"264927",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264930",NA,"COOLESSAN","LIMAVADY"
"264931",NA,"DEER PARK","LIMAVADY"
"264932",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264933",NA,"RATHBRADY MORE","LIMAVADY"
"264935",NA,"ENAGH","LIMAVADY"
"264936",NA,"ENAGH","LIMAVADY"
"264937",NA,"ENAGH","LIMAVADY"
"264938",NA,"RATHBRADY MORE","LIMAVADY"
"264939",NA,"RATHBRADY MORE","LIMAVADY"
"264941",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264942",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264943",NA,"COOLESSAN","LIMAVADY"
"264944",NA,"RATHBRADY MORE","LIMAVADY"
"264948",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264949",NA,"RATHBRADY MORE","LIMAVADY"
"264954",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264955",NA,"DROMORE","LIMAVADY"
"264956",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264957",NA,"RATHBRADY MORE","LIMAVADY"
"264958",NA,"RATHBRADY MORE","LIMAVADY"
"264959",NA,"ENAGH","LIMAVADY"
"264961",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264962",NA,"TERRYDOO CLYDE","LIMAVADY"
"264964",NA,"ARDMORE","LIMAVADY"
"264965",NA,"DRUMRAMER","LIMAVADY"
"264969",NA,"MULLAGH","LIMAVADY"
"264970",NA,"ENAGH","LIMAVADY"
"264971",NA,"DEER PARK","LIMAVADY"
"264972",NA,"COOLESSAN","LIMAVADY"
"264973",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264974",NA,"COOLESSAN","LIMAVADY"
"264976",NA,"CARRAN","LIMAVADY"
"264977",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264978",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264979",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"264980",NA,"BOVALLY","LIMAVADY"
"264982",NA,"CARRAN","LIMAVADY"
"264984",NA,"ENAGH","LIMAVADY"
"264985",NA,"RATHBRADY MORE","LIMAVADY"
"264988","FRUITHILL","KILLANE","LIMAVADY"
"264990",NA,"ENAGH","LIMAVADY"
"264993",NA,"RATHBRADY MORE","LIMAVADY"
"264994",NA,"RATHBRADY MORE","LIMAVADY"
"264998",NA,"ENAGH","LIMAVADY"
"265000",NA,"BALLYMORE","LIMAVADY"
"265001",NA,"BOVALLY","LIMAVADY"
"265006",NA,"BOVALLY","LIMAVADY"
"265012",NA,"ENAGH","LIMAVADY"
"265013",NA,"GLENKEEN","LIMAVADY"
"265014",NA,"BOVALLY","LIMAVADY"
"265015",NA,"BOVALLY","LIMAVADY"
"265016",NA,"DRUMMOND","LIMAVADY"
"265017",NA,"BOVALLY","LIMAVADY"
"265040",NA,"ARDGARVAN","LIMAVADY"
"265042",NA,"CARRAN","LIMAVADY"
"265246",NA,"LARGY","LIMAVADY"
"265260",NA,"BALLYQUIN","LIMAVADY"
"265368",NA,"DRUMSURN LOWER","LIMAVADY"
"265812",NA,"TAMLAGHT","LIMAVADY"
"271238",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"271640","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"271791",NA,"BOVALLY","LIMAVADY"
"272134",NA,"BOVALLY","LIMAVADY"
"272148",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"272180",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"272183",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"272186",NA,"RATHBRADY MORE","LIMAVADY"
"272196",NA,"CARROWMUDDLE","LIMAVADY"
"272235",NA,"BOVALLY","LIMAVADY"
"272323",NA,"DRUMAVALLY","LIMAVADY"
"272604",NA,"BALLYMULTIMBER","LIMAVADY"
"272606",NA,"BOVALLY","LIMAVADY"
"272740",NA,"CARRICK","LIMAVADY"
"272793",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"272854",NA,"COOLESSAN","LIMAVADY"
"273014",NA,"CARRICK","LIMAVADY"
"273047",NA,"KILHOYLE","LIMAVADY"
"273339",NA,"ENAGH","LIMAVADY"
"273447",NA,"ENAGH","LIMAVADY"
"273460",NA,"BALLYQUIN","LIMAVADY"
"273516",NA,"CARRAN","LIMAVADY"
"273569",NA,"CLOGHAN","LIMAVADY"
"274415",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"274427",NA,"CARRYDOO","LIMAVADY"
"274467",NA,"BOVALLY","LIMAVADY"
"274647",NA,"DRUMMOND","LIMAVADY"
"274676",NA,"GLACK","LIMAVADY"
"274686",NA,"LENAMORE","LIMAVADY"
"274709",NA,"DRUMGAVENNY UPPER","LIMAVADY"
"274715",NA,"UMBRA","LIMAVADY"
"274940",NA,"COOLESSAN","LIMAVADY"
"274941",NA,"COOLESSAN","LIMAVADY"
"274942",NA,"COOLESSAN","LIMAVADY"
"274984",NA,"CARRAN","LIMAVADY"
"275075",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"275097",NA,"CARRYDOO","LIMAVADY"
"275150",NA,"ENAGH","LIMAVADY"
"275707",NA,"BALLYMULHOLLAND","LIMAVADY"
"275767",NA,"RATHBRADY MORE","LIMAVADY"
"275845",NA,"BOVALLY","LIMAVADY"
"275872",NA,"BOVALLY","LIMAVADY"
"275926",NA,"BOVALLY","LIMAVADY"
"276087",NA,"BOVALLY","LIMAVADY"
"276662",NA,"FARLOW","LIMAVADY"
"276667",NA,"ENAGH","LIMAVADY"
"276668",NA,"BOVALLY","LIMAVADY"
"276693",NA,"BOVALLY","LIMAVADY"
"276698",NA,"BALLYMACRAN","LIMAVADY"
"276728","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"276778",NA,"CARRAN","LIMAVADY"
"276843",NA,"BOVALLY","LIMAVADY"
"276868",NA,"GORTNAMONEY","LIMAVADY"
"276873",NA,"ENAGH","LIMAVADY"
"276894",NA,"BOVALLY","LIMAVADY"
"276945",NA,"GLACK","LIMAVADY"
"277768","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"277917",NA,"DERRY MORE","LIMAVADY"
"278016",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"278017",NA,"ENAGH","LIMAVADY"
"278064",NA,"BALLYMACRAN","LIMAVADY"
"278247",NA,"BROGLASCO","LIMAVADY"
"278337",NA,"BOVALLY","LIMAVADY"
"278431",NA,"BOVALLY","LIMAVADY"
"278432",NA,"CARRAN","LIMAVADY"
"278433",NA,"ENAGH","LIMAVADY"
"278582",NA,"CARRAN","LIMAVADY"
"278671",NA,"LARGY","LIMAVADY"
"278774",NA,"BOVALLY","LIMAVADY"
"278833",NA,"MULKEERAGH","LIMAVADY"
"279152",NA,"ENAGH","LIMAVADY"
"279218",NA,"BOVALLY","LIMAVADY"
"279337",NA,"DRUMSURN LOWER","LIMAVADY"
"279369",NA,"DRUMAVALLY","LIMAVADY"
"279385",NA,"BENONE","LIMAVADY"
"279386",NA,"BENONE","LIMAVADY"
"279523",NA,"DRUMADERRY","LIMAVADY"
"279732",NA,"GLACK","LIMAVADY"
"279747",NA,"CARRAN","LIMAVADY"
"279749",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279750",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279751",NA,"RATHBRADY MORE","LIMAVADY"
"279752",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279754",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279755",NA,"RATHBRADY MORE","LIMAVADY"
"279756",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279757",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279758",NA,"COOLESSAN","LIMAVADY"
"279760",NA,"RATHBRADY MORE","LIMAVADY"
"279763",NA,"ENAGH","LIMAVADY"
"279766",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279767",NA,"RATHBRADY MORE","LIMAVADY"
"279770",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279774",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279775",NA,"TAMLAGHT","LIMAVADY"
"279776",NA,"RATHBRADY MORE","LIMAVADY"
"279777",NA,"BOVALLY","LIMAVADY"
"279778",NA,"ENAGH","LIMAVADY"
"279781",NA,"ENAGH","LIMAVADY"
"279782",NA,"ENAGH","LIMAVADY"
"279783",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279784",NA,"DEER PARK","LIMAVADY"
"279785",NA,"BOVALLY","LIMAVADY"
"279786",NA,"BOVALLY","LIMAVADY"
"279787",NA,"BOVALLY","LIMAVADY"
"279788",NA,"BOVALLY","LIMAVADY"
"279789",NA,"RATHBRADY MORE","LIMAVADY"
"279790",NA,"CAHERY","LIMAVADY"
"279794",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279797",NA,"RATHBRADY MORE","LIMAVADY"
"279798",NA,"RATHBRADY MORE","LIMAVADY"
"279799",NA,"CARRAN","LIMAVADY"
"279800",NA,"BOVALLY","LIMAVADY"
"279801",NA,"BALLYNAHERY","LIMAVADY"
"279802",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279804",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"279805",NA,"RATHBRADY MORE","LIMAVADY"
"279806",NA,"RATHBRADY MORE","LIMAVADY"
"279807",NA,"ENAGH","LIMAVADY"
"279809",NA,"BOVALLY","LIMAVADY"
"279810",NA,"RATHBRADY MORE","LIMAVADY"
"279814",NA,"BOVALLY","LIMAVADY"
"279816",NA,"RATHBRADY MORE","LIMAVADY"
"279818",NA,"CARRAN","LIMAVADY"
"279822",NA,"RATHBRADY MORE","LIMAVADY"
"279829",NA,"BOVALLY","LIMAVADY"
"279830",NA,"ENAGH","LIMAVADY"
"279835",NA,"BOVALLY","LIMAVADY"
"279836",NA,"BALLYRISK BEG","LIMAVADY"
"279841",NA,"BOVALLY","LIMAVADY"
"280022",NA,"MAINE SOUTH","LIMAVADY"
"280054",NA,"DRUMSURN LOWER","LIMAVADY"
"280059",NA,"TEMPLEMOYLE","LIMAVADY"
"280060",NA,"KILHOYLE","LIMAVADY"
"280064",NA,"MOYS","LIMAVADY"
"280346",NA,"GORTNAMONEY","LIMAVADY"
"285100",NA,"CARROWCLARE","LIMAVADY"
"286011",NA,"BOVALLY","LIMAVADY"
"286015",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"286142",NA,"CARRYDOO","LIMAVADY"
"286237",NA,"BOVALLY","LIMAVADY"
"286382",NA,"LOWER CORNDALE","LIMAVADY"
"286433",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"286622",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"286657",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"286658",NA,"RATHBRADY MORE","LIMAVADY"
"286923",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"286961",NA,"RATHBRADY MORE","LIMAVADY"
"287072",NA,"BOVALLY","LIMAVADY"
"287198",NA,"LARGY","LIMAVADY"
"287346",NA,"LARGY","LIMAVADY"
"287367",NA,"DRUMAVALLY","LIMAVADY"
"287368",NA,"OUGHTYMORE","LIMAVADY"
"287438",NA,"GORTNAMONEY","LIMAVADY"
"287523",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"287752",NA,"BALLYMACRAN","LIMAVADY"
"287996",NA,"CARRICK","LIMAVADY"
"288009",NA,"GORTNAMONEY","LIMAVADY"
